condition,taxa841,taxa572511,taxa1730,taxa216851,taxa189330,taxa375288,taxa816,taxa239759,taxa33042,taxa292632,taxa1263,taxa102106,taxa1678,taxa459786,taxa1301,taxa1485,taxa239934,taxa35832,taxa397864,taxa39948,taxa283168,taxa84111,taxa561,taxa207244,taxa61170,taxa29465,taxa2172,taxa447020,taxa838,taxa244127,taxa836,taxa100883,taxa577310,taxa1357,taxa1378,taxa724,taxa117563,taxa644652,taxa1578,taxa872,taxa40544,taxa577309,taxa1654,taxa904,taxa123375,taxa32207,taxa1017280,taxa830,taxa133925,taxa848,taxa286,taxa570,taxa906,taxa1350,taxa52225,taxa33024,taxa1380,taxa1348911,taxa946234,taxa84108,taxa846
crc,1.48233,4.90193,2.01496,0.21351,3.74422,0.03888,24.8943,10.9026,0.36692,3.50412,1.36157,0.42818,3.16996,4.76114,0.85476,4.27002,0.00226,0.93846,,5.10356,1.08187,0.27256,,0.08995,0.05292,,0.1749,,13.0969,0.24437,0.83672,0.50686,,0.05945,0.27223,,,,,,0.00234,0.00551,,,2.4904,,0.00065,0.08571,,2.18707,,,,,,0.0093,,,0.06039,0.10049,
crc,2.04768,7.02216,3.05846,2.19709,0.75979,1.66832,37.4826,1.24448,0.60159,18.2974,12.0251,0.06659,4.55287,1.6327,0.32305,0.04629,4.07828,,,,,,0.08031,,,,0.02322,0.04274,,,,,,,,,,,,,,,,,,,,,,0.03945,,,,,,,,0.91592,,,
crc,2.27468,7.22335,3.21132,2.21519,0.83537,1.63412,36.2294,1.35835,0.6708,17.8747,11.9309,0.11737,4.68123,1.6267,0.37802,0.11527,4.5593,,,,0.40713,0.02956,0.13616,0.00713,0.01605,,0.01571,0.07416,,,,,,,,,,0.04762,0.04019,,,,,,,,0.02897,,,0.04006,0.00833,,,,,,,0.02254,0.02645,,
crc,2.14437,6.93594,3.14342,2.21714,0.87298,1.70255,35.8693,1.49623,0.61411,18.6202,11.5112,0.11303,5.1589,1.83732,0.33659,0.09616,4.52525,,,,0.04615,0.03648,0.09208,0.00968,0.03053,,0.00163,0.08865,,,,,,,,,,0.0638,0.04653,,,,,,,,0.01834,,,0.03492,,,,,,,,0.05152,0.03381,,
crc,2.16203,7.1349,3.22457,2.11106,0.78377,1.71097,35.7188,1.54898,0.5648,18.5599,11.5656,0.13571,5.24395,1.70961,0.36908,0.09158,4.72271,,,,0.16322,0.02293,0.04527,0.00875,0.03754,,0.01176,0.08706,,0.02854,,,,,,,,0.06766,0.03518,,,,,,,,0.01562,,,0.03708,,,,,,,,0.03833,0.03401,,
crc,2.18511,6.67006,3.07938,2.15979,0.87347,2.04655,36.0199,1.52246,0.59529,18.892,11.3867,0.10234,5.04104,1.80088,0.34832,0.10466,4.52235,,,,0.09677,0.03617,0.05534,0.0052,0.04024,0.00065,,0.09662,,,,,,,,,,0.06547,0.04887,,,,,,,,0.00992,,,0.0401,,,,,,,,0.01787,0.04184,,
crc,1.01989,16.4403,22.691,1.89045,2.99045,1.45037,16.9916,12.1967,1.33444,6.79626,0.08614,0.49707,0.04741,1.40014,0.00601,5.66783,,0.19665,1.10709,0.68465,0.40776,,0.10107,0.02061,0.08315,,,0.1695,,0.0758,,,0.00443,,,,,0.01511,,0.00713,1.25232,,0.01934,,,,0.02662,,,,,,,,,,,,0.08534,,
crc,1.00952,16.3079,22.5965,1.94859,3.02249,1.25345,17.347,12.153,1.33456,7.05784,0.09592,0.48238,0.04983,1.44294,0.00428,5.40741,,0.18695,1.06187,0.71867,0.39604,,0.09951,0.03272,0.07423,,,0.14861,,0.02178,0.00126,,,,,,,0.01671,,,1.27254,,0.02683,,,,0.02248,,,,,,,,,,,,0.06436,,
crc,1.03219,15.3006,22.874,1.86745,2.96575,1.51834,17.1855,12.1706,1.33802,7.35246,0.0797,0.46717,0.04754,1.45624,0.01416,5.72598,,0.20615,1.096,0.66848,0.43885,,0.08189,0.0228,0.10122,,,0.12531,,0.03988,,,0.00323,,,,,0.0181,,0.00401,1.21513,,0.01601,,,,0.02791,,0.00126,,,,,,,,,,0.07714,,
crc,1.03429,15.6698,22.7529,1.91369,3.07374,1.27939,17.3744,12.6088,1.3996,6.59505,0.09251,0.49195,0.05507,1.48166,0.01222,5.59478,,0.18839,1.11932,0.63337,0.39023,,0.11585,0.02053,0.1217,,,0.1129,,0.00704,,,0.00431,,,,,0.00569,,,1.31924,,0.02196,,,,0.03817,,,,,,,,,,,,0.06714,,
crc,0.79249,7.03313,24.1594,5.31661,0.8006,1.5406,16.1017,3.25937,1.42322,13.172,13.3234,0.44217,1.24215,0.60792,0.45175,0.62578,,0.63275,,0.0424,0.45728,0.00385,1.9053,,0.0397,,,0.05055,,0.30465,,0.02601,0.08654,,,,0.11793,,,,,,0.13346,,0.01596,,0.00842,,,,,,,,,,,2.83356,,,
crc,0.78454,7.55988,22.8924,5.46842,0.83422,1.29393,18.5634,3.35513,1.61521,12.7579,12.5139,0.43364,1.25537,0.62904,0.4368,0.62477,,0.68333,,0.02875,0.10958,0.01047,1.51441,,0.02876,,,0.05062,,0.2887,,0.03212,0.11457,,,,0.10105,,,,,,0.11641,,0.02473,,0.00132,,,,,,,,,,,2.68666,,,
crc,0.79938,7.51652,23.7459,5.63609,0.80301,1.40541,15.5441,3.43905,1.49595,13.5403,12.9351,0.43819,1.33377,0.65592,0.43632,0.69641,,0.67007,,0.02436,0.13619,0.00094,1.87217,,0.03233,,,0.04694,,0.29197,,0.02291,0.10654,,,,0.11239,,,,,,0.13534,,0.02225,,0.00404,,,,,,,,,,,2.82145,,,
crc,0.93504,7.06931,23.663,5.65725,0.82943,1.47402,15.6547,3.70496,1.55305,13.4012,13.3699,0.41922,1.28718,0.63093,0.46035,0.6523,,0.64482,,0.03619,0.02322,,1.94683,,0.03603,,,0.0513,,0.30056,,0.01199,0.09109,,,,0.10616,,,,,,0.1317,,0.02779,,,,,,,,,,,,,2.71347,,,
crc,3.24695,1.16265,6.6652,6.13454,0.09367,1.71029,8.55835,2.34697,1.12445,6.90319,4.5128,0.59622,1.6491,0.22991,0.07238,0.44829,15.9952,0.07738,2.93811,5.18449,0.23617,,0.21226,,0.00531,,0.43594,,0.0026,,,,,,,,,,0.10207,,,,,8.84141,,,0.00404,,,,,,,,,,,0.05242,,,
crc,3.1683,1.00801,6.5926,6.28907,0.05149,1.89478,8.3172,2.50454,1.14749,6.99447,4.43929,0.59857,1.68469,0.24637,0.08668,0.44773,16.5825,0.075,2.90273,5.16391,0.06424,,0.21672,,0.00509,,0.4181,,0.00962,,,,,,,,,,0.08339,,,,,9.07638,,,0.00471,,0.00267,,,,,,,,,0.03941,,,
crc,3.17185,0.86266,6.40835,6.16744,0.13882,1.82775,8.7027,2.50418,1.19552,6.62567,4.52909,0.70014,1.61358,0.28038,0.06743,0.42753,16.6166,0.08132,2.95329,5.16721,0.21338,,0.2855,,0.01202,,0.44772,,0.00378,,,,,0.00236,,,,,0.08432,,,,,8.9443,,,0.00318,,,,,,,,,,,0.04968,,,0.00534
